,Unnamed: 0.1,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Country,Region,CategoryID,CategoryName,pub_month,pub_week,pub_day,pub_weekday,views_per_sub,likes_per_sub
4708,4708,6053,1801,1772,759,422168,12883,851,145000,73,36,10,7,10,41,10,4,2.911483369080213,0.0888476631195647
4709,4709,3278,1806,4420,1306,3066603,50495,300,71100,67,16,2,6,10,41,12,6,43.13023726811156,0.7101869172022897
4710,4710,3436,184,3775,6767,218852,2693,6,99400,67,26,1,8,10,42,18,5,2.201708232311546,0.0270922827738151
4711,4711,7314,702,674,2443,1105055,36138,651,1260000,64,4,23,10,10,42,14,1,0.8770270817245384,0.0286809296183098
4712,4712,3203,5203,5202,7808,50330,2565,160,484000,31,36,22,1,10,42,19,6,0.1039873884558089,0.0052995758273226
4713,4713,1018,3655,3139,5648,729898,35505,3365,2380000,67,24,28,4,10,42,17,4,0.306679703075755,0.0149180609587979
4714,4714,6636,1383,930,1888,11623328,211640,209,334000,91,0,26,5,10,42,13,0,34.800279041080714,0.6336507974527023
4715,4715,1622,4376,4381,3082,34254,280,156,106000,96,49,25,2,10,42,15,2,0.3231478948311808,0.002641484514297
4716,4716,769,3704,3160,7339,22910,532,62,23300,93,48,28,4,10,42,19,6,0.983219604308828,0.022831638127119
4717,4717,6325,7374,7246,6833,66892,3364,136,74100,91,17,25,2,10,42,19,6,0.902713863510614,0.0453974980094735
4718,4718,6198,1618,4661,2617,4674986,78990,117,44500,67,37,26,5,10,42,14,1,105.05350441563112,1.7750162917687242
4719,4719,1613,1793,3174,7978,1841630,84538,100,212000,12,5,20,0,10,42,19,6,8.686892986353838,0.3987622699892925
4720,4720,6866,6510,22,7324,42370,2479,669,170000,80,40,20,0,10,42,19,6,0.2492338280363056,0.0145822671631343
4721,4721,7779,7317,3552,8089,40298,1261,56,478000,48,23,20,0,10,43,20,0,0.0843052629597009,0.002638069794833
4722,4722,6687,7731,7226,2300,179763,8764,489,134000,87,45,10,7,10,42,14,1,1.3415049141424318,0.065402496996291
4723,4723,4819,5277,4020,1124,164288,373,8,22300,14,34,10,7,10,41,12,6,7.366844536119457,0.0167257073673826
4724,4724,3958,7188,4470,5668,1678891,10398,46,17300,67,5,1,8,10,42,17,4,97.04011328824924,0.6010057222125889
4725,4725,7842,8283,258,4411,587411,1873,17,20600,21,10,23,10,10,42,16,3,28.513712926556963,0.09091791660599
4726,4726,3603,7656,7361,4868,54051,1572,163,175000,87,45,2,6,10,42,17,4,0.3088610922223301,0.0089828058125382
4727,4727,7112,4554,3756,7760,64325,2630,165,10100,12,27,25,2,10,42,19,6,6.368181368181368,0.2603702603702604
4728,4728,7511,1819,1330,3740,23401498,239480,142,1480000,36,28,26,5,10,42,16,3,15.811812289316022,0.1618107014792557
4729,4729,7817,7239,1345,5835,1379352,12273,97,54600,42,33,28,4,10,42,18,5,25.262394461639897,0.2247761030017765
4730,4730,3887,8151,4717,4652,6270049,0,128,935000,42,29,26,5,10,42,17,4,6.705927587243222,0.0
4731,4731,5368,5865,4616,3388,100203,140,0,863000,67,16,25,2,10,42,15,2,0.1161099465701662,0.0001622246092414
4732,4732,1686,1178,1923,186,128092676,451906,2133,9690000,91,12,2,6,10,40,2,3,13.21905704653694,0.0466363212965612
4733,4733,7104,886,251,3507,9818454,184675,952,957000,60,33,26,5,10,42,15,2,10.25960683426663,0.1929726301226435
4734,4734,4805,502,91,3448,513321,1014,13,9440,31,15,10,7,10,42,15,2,54.37146488719415,0.1074038767079758
4735,4735,3204,2397,6174,7223,1496821,44080,1069,2040000,67,11,26,5,10,42,19,6,0.7337354246394977,0.0216078325451801
4736,4736,4927,622,4699,3804,351158,7719,322,234000,86,44,28,4,10,42,16,3,1.5006688005606814,0.0329870385169294
4737,4737,5608,1700,5941,1895,7854899,70225,85,4300000,12,5,23,10,10,42,13,0,1.8267202728557503,0.0163313915508391
4738,4738,809,6356,6596,461,361844,3688,45,22100,67,20,1,8,10,41,8,2,16.372290846568028,0.1668702773630152
4739,4739,4036,4676,668,2031,2900584,21604,122,53900,39,19,17,9,10,42,14,1,53.81317600786628,0.4008088903730914
4740,4740,6104,950,637,2801,21012,989,124,1310000,39,19,22,1,10,42,15,2,0.0160396824124561,0.0007549612557547
4741,4741,6054,6590,4675,171,566804,11905,430,530000,43,40,10,7,10,40,1,2,1.0694394916236007,0.0224622217693928
4742,4742,6548,1406,1362,5520,135051,1239,52,479000,18,9,10,7,10,42,17,4,0.2819430439602423,0.0025866334308279
4743,4743,156,3212,1805,7563,5535044,137133,1212,17700000,18,33,1,8,10,42,19,6,0.3127143326150094,0.007747626680925
4744,4744,5819,1821,2056,1127,2585837,33978,450,110000,74,13,1,8,10,41,12,6,23.50739538731466,0.3088881010172635
4745,4745,3789,3301,3312,7322,937219,9097,679,15000000,91,2,20,0,10,42,19,6,0.0624812625012491,0.0006064666262355
4746,4746,2215,6543,3476,2302,7576842,32774,122,11900000,51,20,23,10,10,42,14,1,0.6367093582597178,0.0027541174156203
4747,4747,5630,351,4888,7391,59189,3480,180,2040000,85,43,20,0,10,42,19,6,0.0290142014636267,0.0017058815167247
4748,4748,4940,7418,7063,4941,219811,8680,1103,183000,46,23,25,2,10,42,17,4,1.2011464418227222,0.0474314348009027
4749,4749,5855,1070,5884,4815,46589,464,0,58400,31,49,25,2,10,42,17,4,0.7977431893289498,0.0079450694337425
4750,4750,2961,6486,3361,1621,7437860,63310,47,38200,51,40,26,5,10,42,13,0,194.7032800188477,1.6572864584696736
4751,4751,797,3181,1913,446,117441,4297,127,163000,61,28,10,7,10,41,8,2,0.7204925123158754,0.0263618014613407
4752,4752,3827,435,3226,5461,141990,1423,1278,15000,39,19,25,2,10,42,17,4,9.46536897540164,0.0948603426438237
4753,4753,3940,337,3122,7839,448821,8918,1125,7200000,12,5,20,0,10,42,19,6,0.0623362413421887,0.0012386109390818
4754,4754,2873,2280,3634,9,8522268,250334,2065,9190000,42,21,28,4,9,38,16,1,0.9273413571989818,0.0272398229336427
4755,4755,4687,3801,607,6277,467147,0,1,114000,44,22,24,3,10,42,18,5,4.097744756624942,0.0
4756,4756,3228,2520,815,6359,247272,21951,695,6820000,12,37,20,0,10,42,18,5,0.0362568861793422,0.0032186212289411
4757,4757,243,1184,5457,1180,20113929,128478,137,25600,67,19,24,3,10,41,12,6,785.6696613413538,5.018475840787469
4758,4758,4148,4477,5245,5871,446933,19234,1103,1980000,14,38,25,2,10,42,18,5,0.2257236233719073,0.0097141365080118
4759,4759,6630,7485,6931,7216,127823,1863,41,24400,46,23,2,6,10,42,19,6,5.238432851112659,0.076349329945494
4760,4760,3219,6831,1787,1129,28000669,0,50,726000,42,35,1,8,10,41,12,6,38.568361476086125,0.0
4761,4761,4278,890,857,506,1961066,25260,143,242000,67,29,23,10,10,41,9,3,8.103545026673444,0.1043797339680414
4762,4762,3621,5187,6190,2363,914100,15699,516,738000,67,4,17,9,10,42,14,1,1.2386162078371168,0.0212723288992833
4763,4763,2311,1643,3356,3485,692473,37310,1077,937000,12,5,25,2,10,42,15,2,0.7390312283551458,0.0398185274081884
4764,4764,4542,2608,922,6808,3669560,0,96,146000,12,48,17,9,10,42,18,5,25.133800453421557,0.0
4765,4765,2178,2016,2163,4596,4396604,12820,209,5360000,12,5,10,7,10,42,17,4,0.820261787264592,0.0023917905985465
4766,4766,1690,6848,1703,2848,15797989,378340,509,221000,42,35,24,3,10,42,15,2,71.48378966611011,1.7119379550318776
4767,4767,4949,1232,4887,4079,1138420,17386,622,151000,73,36,24,3,10,42,16,3,7.539155369831988,0.1151383103423156
4768,4768,6124,1464,2992,317,6585383,96423,166,320000,91,20,17,9,10,40,5,6,20.57925756482011,0.3013209333720832
4769,4769,6520,223,7472,6858,176476,2220,461,522000,48,25,20,0,10,42,19,6,0.338075980697355,0.0042528654159666
4770,4770,315,1427,3205,5938,565271,11952,50,108000,7,33,28,4,10,42,18,5,5.233942278312238,0.1106656419847964
4771,4771,7115,5438,3920,1755,1345990,12406,19023,865000,39,19,25,2,10,42,13,0,1.5560560045595322,0.014342179951237
4772,4772,3146,1535,7605,15,1430864,11727,430,11600,67,18,10,7,9,38,17,2,123.33971209378502,1.0108611326609775
4773,4773,5983,2569,1633,4292,1419945,41233,240,19900,86,44,1,8,10,42,16,3,71.35043465152505,2.071905934375157
4774,4774,4223,3884,2754,2966,4053785,52869,564,149000,46,23,1,8,10,42,15,2,27.20642814477755,0.3548231219924698
4775,4775,3440,4222,2392,657,542950,8278,6542,358000,16,8,10,7,10,41,10,4,1.5166158753746497,0.0231228404389931
4776,4776,7864,1155,636,508,640783,23055,404,13900,67,29,23,10,10,41,9,3,46.09618013092583,1.658513775987339
4777,4777,2451,7514,7350,5708,114447,3145,93,1340000,87,17,25,2,10,42,17,4,0.085408145217802,0.0023470131738707
4778,4778,8205,6612,3664,3438,740038,10379,17,405000,57,26,1,8,10,42,15,2,1.8272498092597305,0.0256270972170439
4779,4779,7843,3614,4451,5337,124030,4058,189,1480000,91,2,22,1,10,42,17,4,0.0838039974297314,0.0027418900392634
4780,4780,1121,1692,2140,2165,267844,3364,626,638000,72,35,25,2,10,42,14,1,0.4198175237969846,0.0052727190082774
4781,4781,1366,1237,1094,1872,779342,13907,76,596000,77,38,1,8,10,42,13,0,1.307618611378169,0.0233338534666888
4782,4782,5446,943,3102,2699,11025407,454268,1186,1990000,67,27,26,5,10,42,15,2,5.540402743516209,0.2282752621732351
4783,4783,3756,8281,4597,5570,92332,7598,186,61100,28,13,28,4,10,42,17,4,1.5111372972619106,0.1243514836091062
4784,4784,3165,6768,2787,767,767750,11910,812,46000,27,12,25,2,10,41,10,4,16.689854568378948,0.2589074150561944
4785,4785,8294,354,150,7737,19878,1584,82,187000,27,12,20,0,10,42,19,6,0.1062988967973433,0.008470542938273
4786,4786,6210,407,6180,4537,112523,4881,312,341000,91,47,22,1,10,42,16,3,0.3299785044618638,0.0143137410154222
4787,4787,3780,7118,1739,7224,28416,1165,123,179000,85,43,20,0,10,42,19,6,0.1587477164932039,0.0065083435288071
4788,4788,558,2496,368,7571,33047,2410,126,374000,73,36,20,0,10,42,19,6,0.0883607263082184,0.0064438330378795
4789,4789,3521,8218,3947,6756,74193,4277,40,1030000,61,28,20,0,10,42,18,5,0.072031968901001,0.0041524231529872
4790,4790,7459,3469,3744,7151,69733,836,318,22300,66,32,17,9,10,42,19,6,3.1269001390072195,0.0374871082014259
4791,4791,2441,380,108,674,1181606,32218,1327,5260000,91,47,10,7,10,41,10,4,0.2246398812471708,0.0061250938925677
4792,4792,2569,4656,3372,7519,922399,20883,1149,79500,91,2,25,2,10,42,19,6,11.60235720305405,0.2626759411831297
4793,4793,5563,5666,4857,6588,65690,4999,377,900000,91,2,22,1,10,42,18,5,0.0729888077902135,0.0055544382728463
4794,4794,873,5640,5876,540,5373018,228001,286,267000,93,48,17,9,10,41,9,3,20.123587552106542,0.8539331313365868
4795,4795,587,7433,121,3834,261136,1233,896,1950000,46,23,25,2,10,42,16,3,0.1339158287611134,0.0006323073680475
4796,4796,914,1878,5592,2714,435890,8736,260,31600,61,28,17,9,10,42,15,2,13.79355083699883,0.2764469478813962
4797,4797,8300,4865,4159,4486,247497,4098,244,55900,61,28,17,9,10,42,16,3,4.427416325289351,0.0733081698001824
4798,4798,7919,5516,2109,5715,4039487,166813,410,9230000,12,5,23,10,10,42,17,4,0.4376475148810926,0.0180729124514721
4799,4799,6432,8111,7418,3160,3947129,28715,1282,13100,48,25,26,5,10,42,15,2,301.28455843065416,2.19181741851767
4800,4800,3267,202,92,3843,359306,1274,7,26200,36,17,23,10,10,42,16,3,13.713446051677415,0.0486240983168581
4801,4801,5266,149,3289,5179,10690652,127099,340,37200,42,28,17,9,10,42,17,4,287.37539313459314,3.416547942259617
4802,4802,7143,1947,329,1217,17899520,140682,279,10800000,39,28,1,8,10,41,12,6,1.6573628095034436,0.0130261099049898
4803,4803,3724,8113,2210,2901,12695739,102085,4932,1560000,48,45,10,7,10,42,15,2,8.1382890139173,0.0654390606159867
4804,4804,2701,5521,1015,1836,7679013,146657,0,195000,28,0,26,5,10,42,13,0,39.37935190075948,0.7520833226496274
4805,4805,7476,7934,7586,1610,5155325,69916,396,48500,48,25,24,3,10,42,13,0,106.29316921300592,1.4415372878909714
4806,4806,8116,6767,1182,5278,3795817,0,164,2820000,42,26,24,3,10,42,17,4,1.3460339198461275,0.0
4807,4807,6614,3990,609,6301,2364051,30756,214,274000,12,5,24,3,10,42,18,5,8.627891869007778,0.1122477655191039
4808,4808,1886,3259,4872,969,771179,13248,1451,1150000,91,29,20,0,10,41,11,5,0.6705898516609986,0.0115199899826174
4809,4809,6052,3743,5752,5455,383881,10256,54,430000,73,36,17,9,10,42,17,4,0.892744435478057,0.0238511073230062
4810,4810,2045,941,3165,3807,243207,2803,148,42700,67,48,20,0,10,42,16,3,5.695580899744737,0.0656424908081778
4811,4811,4285,7156,1866,8111,135502,6717,814,642000,85,43,25,2,10,43,20,0,0.2110619765389773,0.0104626005255443
4812,4812,4685,3151,3184,2305,13644222,55627,55,591000,67,19,26,5,10,42,14,1,23.086630987088007,0.09412336019736
4813,4813,4683,4304,1351,363,1524794,16299,24,115000,60,8,28,4,10,41,7,1,13.25896296553943,0.1417292023547621
4814,4814,5961,3864,2617,3061,867873,41965,263,565000,44,22,1,8,10,42,15,2,1.5360556883970118,0.0742742048244162
4815,4815,3003,5645,5655,4116,150263,1992,15,33400,91,18,24,3,10,42,16,3,4.498757522229873,0.0596389329660788
4816,4816,2859,1449,1451,5400,1599116,46823,520,101000,67,47,17,9,10,42,17,4,15.832674924010654,0.4635894694111939
4817,4817,7501,755,3075,6829,689247,4434,2199,5270000,91,32,25,2,10,42,18,5,0.1307868822036276,0.0008413660642569
4818,4818,6126,8256,1418,7918,130309,2620,57,2550000,67,43,20,0,10,42,19,6,0.051101548587628,0.0010274505774703
4819,4819,5405,8296,1046,2101,2112618,19862,89,210000,91,36,2,6,10,42,14,1,10.060037809343765,0.0945805019976095
4820,4820,7561,1255,3685,1296,7970613,32816,27,2450000,67,48,26,5,10,41,12,6,3.2533101006897547,0.0133942802472325
4821,4821,8126,4232,3686,2233,575509,4920,418,5990000,93,48,20,0,10,42,14,1,0.0960782811221567,0.0008213688111237
4822,4822,8472,8060,7421,4773,977791,3641,28,90800,48,25,26,5,10,42,17,4,10.768504752150308,0.0400986773273422
4823,4823,2779,3364,5836,1397,63409,2262,115,794000,64,4,20,0,10,41,12,6,0.0798601009318628,0.002848862910752
4824,4824,5431,3337,3299,6573,29865,2428,92,263000,67,18,2,6,10,42,18,5,0.1135547013129227,0.0092319040612012
4825,4825,4504,3925,5943,1100,2152451,112497,446,72500,67,33,2,6,10,41,11,5,29.688569812830167,1.5516613563950843
4826,4826,5449,7153,5458,3968,1106842,11506,15,209000,67,43,1,8,10,42,16,3,5.295869397754077,0.0550523681704872
4827,4827,3953,7099,1755,4776,908919,10308,832,305000,85,43,2,6,10,42,17,4,2.9800525244179528,0.0337966105029163
4828,4828,7013,5844,3626,3921,161936,6100,308,584000,34,16,20,0,10,42,16,3,0.2772871964260335,0.0104451875938568
4829,4829,7887,3417,690,898,257131,2940,91,903000,67,34,22,1,10,41,11,5,0.2847516226449361,0.0032558103479398
4830,4830,4316,4821,3155,630,30179673,646992,8719,23500,67,2,17,9,10,41,9,3,1284.1867580102974,27.530402961576105
4831,4831,2239,4812,1051,1964,1153138,52289,278,25600,91,2,28,4,10,42,13,0,45.042693644779504,2.0424592789344165
4832,4832,3617,1122,2534,721,1859530,8979,110,11800,67,29,28,4,10,41,10,4,157.57393441233793,0.7608677230743157
4833,4833,2096,901,1106,7008,8784238,186757,310,62600,91,2,24,3,10,42,19,6,140.32104918451782,2.983291001741186
4834,4834,4182,6066,6502,7233,187701,8387,1207,112000,89,36,25,2,10,42,19,6,1.6758868224390853,0.0748832599708931
4835,4835,591,8116,7030,113,832726,4668,148,17900,87,45,28,4,9,39,27,5,46.51840679291659,0.2607675548852019
